City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
hasaki,40,JP,1569382368,65,35.73,140.83,84.0,4.7
tautira,75,PF,1569382368,55,-17.73,-149.15,86.0,1.12
georgetown,20,GY,1569382368,94,6.8,-58.16,78.8,4.7
batemans bay,97,AU,1569382368,44,-35.71,150.18,62.01,1.99
comodoro rivadavia,0,AR,1569382369,45,-45.87,-67.48,64.4,19.46
ribeira grande,0,PT,1569382369,69,38.52,-28.7,70.37,10.78
torbay,90,CA,1569382179,100,47.66,-52.73,46.0,9.17
touros,40,BR,1569382369,88,-5.2,-35.46,73.4,4.7
eenhana,0,NA,1569382369,16,-17.48,16.34,62.6,3.36
saint george,40,GR,1569382369,93,39.45,22.34,60.8,1.1
lieksa,77,FI,1569382369,86,63.32,30.02,30.05,3.31
talnakh,75,RU,1569382369,91,69.49,88.39,33.8,20.13
arcata,1,US,1569382370,77,40.87,-124.08,64.99,5.82
leticia,75,CO,1569382370,100,-4.21,-69.94,73.4,2.24
kupang,20,ID,1569382370,41,-10.16,123.6,91.4,16.11
humboldt,53,CA,1569382370,68,52.21,-105.12,48.41,11.99
san jose,76,HN,1569382191,97,14.25,-87.96,66.05,3.53
yangliuqing,0,CN,1569382370,39,39.14,117.0,82.4,4.47
grand gaube,40,MU,1569382370,88,-20.01,57.66,73.4,9.17
provideniya,40,RU,1569382371,75,64.42,-173.23,41.0,6.71
mongoumba,100,CD,1569382371,98,3.64,18.59,71.09,2.55
buzuluk,95,RU,1569382371,86,52.79,52.25,35.63,3.87
faanui,70,PF,1569382371,76,-16.48,-151.75,79.55,19.39
cape town,0,ZA,1569382371,81,-33.93,18.42,61.0,3.36
cabedelo,20,BR,1569382371,94,-6.97,-34.84,73.4,4.7
anadyr,0,RU,1569382371,56,64.73,177.51,42.8,11.18
yellowknife,75,CA,1569382371,80,62.45,-114.38,41.0,4.7
bethel,75,US,1569382372,76,60.79,-161.76,48.2,26.4
suntar,45,RU,1569382372,69,62.16,117.65,46.25,6.17
la rioja,0,AR,1569382372,40,-29.41,-66.86,57.41,3.13
richards bay,58,ZA,1569382372,65,-28.77,32.06,63.71,38.14
aksu,0,KZ,1569382372,47,52.04,76.93,41.0,4.47
bad windsheim,40,DE,1569382372,100,49.5,10.42,59.0,12.75
saint-augustin,90,CA,1569382372,87,45.63,-73.98,57.2,3.36
marzuq,97,YE,1569382373,43,14.4,46.47,73.97,1.01
herat,0,AF,1569382125,37,34.35,62.22,66.2,2.24
guerrero negro,0,MX,1569382373,86,27.97,-114.04,68.57,10.22
bridlington,100,GB,1569382373,100,54.08,-0.19,59.0,4.7
flinders,40,AU,1569382373,48,-34.58,150.85,64.4,9.17
esmeraldas,0,BR,1569382373,63,-19.76,-44.31,66.2,6.93
saldanha,59,PT,1569382373,89,41.42,-6.55,52.91,4.05
mandalgovi,39,MN,1569382374,17,45.76,106.27,71.45,13.89
ahipara,67,NZ,1569382271,90,-35.17,173.16,61.0,29.51
bambous virieux,40,MU,1569382374,88,-20.34,57.76,73.4,9.17
price,1,US,1569382374,32,39.6,-110.81,66.2,14.99
sorong,41,ID,1569382374,69,-0.86,131.25,85.13,7.45
victoria,75,BN,1569382374,49,5.28,115.24,91.4,13.87
sandakan,75,MY,1569382374,66,5.84,118.12,87.8,4.7
svetlaya,0,RU,1569382374,31,46.54,138.33,54.71,11.86
kamenka,47,MD,1569382374,70,48.03,28.7,51.47,4.5
bogande,20,BF,1569382375,82,12.97,-0.14,77.75,10.6
teya,75,MX,1569382375,88,21.05,-89.07,82.0,6.93
merauke,0,ID,1569382375,81,-8.49,140.4,77.57,21.77
itarema,2,BR,1569382375,87,-2.92,-39.92,73.61,4.03
atbasar,57,KZ,1569382375,62,51.81,68.36,39.95,12.46
narsaq,9,GL,1569382375,65,60.91,-46.05,41.0,5.82
oranjemund,0,ZA,1569382375,38,-28.55,16.43,66.95,20.92
zanjan,0,IR,1569382231,21,36.67,48.48,51.8,9.17
sitka,33,US,1569382376,78,37.17,-99.65,77.0,8.99
lata,0,IN,1569382376,79,30.78,78.62,45.35,4.47
klaksvik,100,FO,1569382376,100,62.23,-6.59,51.8,17.22
visby,25,SE,1569382376,100,57.64,18.3,55.0,6.93
viedma,27,AR,1569382376,60,-40.81,-62.99,54.89,7.54
wasilla,90,US,1569382376,75,61.58,-149.44,50.0,2.1
lorengau,24,PG,1569382327,74,-2.02,147.27,84.41,8.72
tulsipur,71,IN,1569382376,81,27.53,82.41,80.45,16.33
villa de cura,74,VE,1569382377,96,10.04,-67.49,68.21,0.16
yubileynyy,49,MD,1569382377,49,47.78,29.0,50.39,5.3
thinadhoo,98,MV,1569382377,66,0.53,72.93,81.35,5.32
matagami,100,NG,1569382377,97,9.67,8.4,68.39,0.87
bubaque,100,GW,1569382377,83,11.28,-15.83,81.53,10.67
biak,0,ID,1569382377,46,-0.91,122.88,75.95,6.42
florianopolis,40,BR,1569382377,87,-27.6,-48.55,64.0,4.7
redmond,90,US,1569382081,72,47.67,-122.12,64.4,3.36
yashkul,100,RU,1569382378,76,46.17,45.34,48.59,14.27
zyryanka,59,RU,1569382378,40,65.73,150.89,36.53,8.97
lompoc,1,US,1569382137,63,34.64,-120.46,75.2,16.28
hearst,100,CA,1569382378,73,49.69,-83.67,58.13,8.93
oum hadjer,64,TD,1569382378,49,13.3,19.7,83.69,7.07
palaiokomi,75,GR,1569382378,93,40.87,23.9,66.99,3.36
fare,95,PF,1569382378,76,-16.7,-151.02,79.19,19.69
ben tre,80,VN,1569382378,71,10.24,106.37,85.85,3.13
tzucacab,100,MX,1569382379,89,20.07,-89.05,76.67,2.04
kyrylivka,0,UA,1569382379,42,47.65,37.3,40.85,5.41
nouadhibou,0,MR,1569382379,83,20.93,-17.03,69.8,14.99
sao filipe,100,CV,1569382379,89,14.9,-24.5,79.01,10.4
amapa,40,HN,1569382379,69,15.09,-87.97,82.4,4.7
namatanai,100,PG,1569382379,85,-3.66,152.44,79.19,11.12
yar-sale,99,RU,1569382379,88,66.83,70.83,36.71,16.55
the valley,20,AI,1569382380,88,18.22,-63.06,80.6,11.41
carnarvon,0,ZA,1569382380,82,-30.97,22.13,41.39,13.22
opochka,95,RU,1569382380,82,56.71,28.66,36.53,4.88
sarakhs,0,TM,1569382380,51,36.54,61.16,60.8,2.24
anamur,75,TR,1569382380,77,36.08,32.84,68.0,6.93
san quintin,0,PH,1569382380,60,17.54,120.52,85.85,4.03
coihaique,0,CL,1569382380,81,-45.58,-72.07,51.8,4.7
ancud,90,CL,1569382380,100,-41.87,-73.83,51.8,4.7
ridgecrest,0,US,1569382303,18,35.62,-117.67,80.01,7.4
sao fidelis,9,BR,1569382381,87,-21.65,-41.75,59.21,2.42
goderich,21,CA,1569382304,89,43.74,-81.71,59.0,5.99
kavaratti,90,IN,1569382323,88,10.57,72.64,77.0,4.7
chapais,1,CA,1569382381,87,49.78,-74.86,48.2,9.17
castro,90,CL,1569382264,100,-42.48,-73.76,51.8,4.7
menongue,20,AO,1569382381,19,-14.66,17.68,59.21,5.91
petropavlovsk-kamchatskiy,40,RU,1569382273,50,53.05,158.65,57.2,17.9
longyearbyen,75,NO,1569382381,100,78.22,15.63,35.6,3.36
sosnovo,98,RU,1569382381,75,60.56,30.25,32.0,0.96
kodiak,75,US,1569382381,83,39.95,-94.76,75.2,16.11
chuy,0,UY,1569382382,90,-33.69,-53.46,53.09,5.93
husavik,77,CA,1569382347,77,50.56,-96.99,55.99,7.9
coos bay,1,US,1569382106,88,43.37,-124.22,69.01,18.34
tsiroanomandidy,0,MG,1569382382,77,-18.77,46.05,62.27,1.48
raudeberg,4,NO,1569382382,93,61.99,5.14,50.0,8.05
sibolga,0,ID,1569382382,77,1.74,98.78,80.45,3.98
dunedin,100,NZ,1569382345,69,-45.87,170.5,46.0,21.0
curup,73,ID,1569382382,53,-3.47,102.53,81.53,4.32
imperia,20,IT,1569382382,88,43.88,8.02,64.4,14.99
mucuri,83,BR,1569382382,86,-18.08,-39.55,65.69,3.06
wawa,98,NG,1569382383,91,9.9,4.41,73.79,5.48
sa kaeo,5,TH,1569382383,66,13.8,102.09,82.61,3.98
mana,1,NG,1569382383,61,13.03,5.27,80.27,8.1
kidal,0,ML,1569382383,14,18.44,1.41,88.37,13.62
cayenne,20,GF,1569382351,94,4.94,-52.33,75.2,2.24
rawson,35,AR,1569382383,50,-43.3,-65.11,61.19,7.16
mayo,40,CA,1569382349,80,63.59,-135.9,41.0,2.24
nome,1,US,1569382383,83,30.04,-94.42,78.01,5.64
severo-kurilsk,0,RU,1569382384,75,50.68,156.12,48.59,29.48
axim,98,GH,1569382384,90,4.87,-2.24,75.95,10.85
tasiilaq,100,GL,1569382384,93,65.61,-37.64,41.0,16.11
iqaluit,75,CA,1569382142,81,63.75,-68.52,37.4,5.82
faya,0,SA,1569382384,63,18.39,42.45,64.4,0.54
hwange,1,ZW,1569382384,75,-18.35,26.5,63.35,6.76
gubkinskiy,100,RU,1569382384,90,64.43,76.5,34.73,21.05
cherskiy,39,RU,1569382384,59,68.75,161.3,34.73,10.54
concepcion del uruguay,0,AR,1569382385,75,-32.48,-58.24,60.01,3.31
mahibadhoo,100,MV,1569382385,79,3.78,72.97,80.27,12.66
ergani,0,TR,1569382385,49,38.27,39.76,55.0,6.93
padang,36,ID,1569382385,83,-0.92,100.36,79.91,14.27
hay river,75,CA,1569382385,93,60.82,-115.79,42.8,2.24
cardston,1,CA,1569382385,57,49.2,-113.32,52.0,2.24
emmett,1,US,1569382385,59,43.87,-116.5,66.2,3.36
tigil,100,RU,1569382386,80,57.8,158.67,49.49,18.5
zhanaozen,100,KZ,1569382386,41,43.35,52.85,59.93,7.49
hit,0,IQ,1569382386,41,33.64,42.83,69.83,4.25
iquitos,0,PE,1569382386,94,-3.75,-73.25,73.4,1.12
fort-shevchenko,68,KZ,1569382386,61,44.51,50.26,63.89,9.6
zyryanovsk,67,KZ,1569382386,36,49.74,84.27,53.63,1.86
havre-saint-pierre,90,CA,1569382331,81,50.23,-63.6,44.6,6.93
tulghes,92,RO,1569382387,75,46.95,25.77,48.99,0.38
nyurba,33,RU,1569382387,81,63.29,118.35,43.19,5.64
karasburg,0,NA,1569382387,34,-28.01,18.75,53.27,17.05
hithadhoo,100,MV,1569382387,67,-0.6,73.08,82.07,4.47
hovd,0,NO,1569382387,86,63.83,10.7,50.0,11.41
mwene-ditu,99,CD,1569382387,87,-7.01,23.45,66.59,3.04
ostrovnoy,97,RU,1569382387,86,68.05,39.51,37.25,12.5
nelson bay,40,AU,1569382344,37,-32.72,152.14,69.01,12.75
sagar,85,IN,1569382387,92,23.84,78.75,75.77,10.42
soanierana ivongo,92,MG,1569382388,91,-16.92,49.59,68.03,2.73
naze,100,NG,1569382388,93,5.43,7.07,73.07,2.06
xuanhua,0,CN,1569382388,29,40.61,115.04,73.25,2.24
inirida,27,CO,1569382388,92,3.87,-67.92,73.25,1.86
geraldton,90,CA,1569382388,72,49.72,-86.95,59.0,4.7
cockburn town,100,TC,1569382366,77,21.46,-71.14,81.71,8.77
bobcaygeon,40,CA,1569382126,100,44.54,-78.55,54.0,0.29
achacachi,0,BO,1569382388,78,-16.04,-68.68,47.15,11.27
portland,1,US,1569381920,77,43.66,-70.25,61.0,4.59
moranbah,1,AU,1569382388,32,-22.0,148.04,85.13,14.83
kuliyapitiya,40,LK,1569382389,94,7.47,80.04,77.0,2.24
komsomolskiy,100,RU,1569382305,94,67.55,63.78,33.65,12.8
gizo,20,IL,1569382389,73,31.8,34.94,71.6,2.24
south valley,1,US,1569382389,42,35.01,-106.68,70.0,5.82
shimanovsk,0,RU,1569382389,35,52.0,127.67,54.35,5.73
midland,1,US,1569382371,54,32.0,-102.08,82.4,6.93
clyde river,1,CA,1569382389,86,70.47,-68.59,28.4,4.7
roald,75,NO,1569382389,93,62.58,6.12,50.0,3.36
riyadh,0,SA,1569382389,27,24.63,46.72,77.0,4.7
ganzhou,0,CN,1569382390,31,25.86,114.93,80.27,6.35
liverpool,75,GB,1569382231,93,53.41,-2.98,57.99,2.24
nioro,32,GM,1569382390,87,13.79,-15.05,77.03,6.26
kilindoni,49,TZ,1569382390,78,-7.91,39.67,79.19,17.45
hambantota,75,LK,1569382390,100,6.12,81.12,78.8,9.17
vostok,0,RU,1569382390,49,46.45,135.83,51.65,11.61
borgarnes,75,IS,1569382390,76,64.54,-21.92,51.8,9.17
caravelas,61,BR,1569382390,75,-17.73,-39.27,71.45,11.41
lagos,20,NG,1569382185,94,6.46,3.39,77.0,4.23
bintulu,75,MY,1569382391,75,3.17,113.03,89.6,5.82
lagoa,0,PT,1569382391,82,37.14,-8.45,68.0,6.93
kununurra,0,AU,1569382391,15,-15.77,128.74,89.6,9.17
duku,36,ID,1569382391,83,-1.19,100.47,79.91,14.27
hamilton,5,CA,1569382204,100,43.26,-79.87,60.8,2.24
grong,12,NO,1569382391,90,64.47,12.32,35.99,4.83
suhbaatar,14,MN,1569382391,49,50.23,106.21,66.05,2.48
dori,1,BF,1569382391,57,14.03,-0.03,82.97,14.29
mountain home,1,US,1569382392,39,43.13,-115.69,66.2,8.05
morant bay,20,JM,1569382392,88,17.88,-76.41,82.4,3.36
isangel,90,VU,1569382320,57,-19.55,169.27,78.8,5.82
beaver falls,1,US,1569382392,82,44.58,-95.05,64.4,8.05
zherdevka,0,RU,1569382392,83,51.84,41.47,33.83,4.03
saint-pierre,75,FR,1569382392,93,48.95,4.24,57.0,10.29
bilibino,92,RU,1569382392,74,68.06,166.44,24.83,2.59
dudinka,75,RU,1569382392,96,69.41,86.18,33.8,20.13
trinidad,6,BO,1569382393,42,-14.83,-64.9,80.63,2.95
chimore,10,BO,1569382393,45,-16.98,-65.13,78.47,4.61
sao felix do xingu,74,BR,1569382393,55,-6.64,-51.99,81.17,1.05
gobabis,16,NA,1569382393,18,-22.45,18.97,53.6,1.12
avera,40,US,1569382393,73,33.19,-82.53,78.8,2.68
gaoual,100,GN,1569382393,97,11.75,-13.2,74.33,3.76
denpasar,40,ID,1569382328,83,-8.65,115.22,82.4,19.46
rafraf,20,TN,1569382393,94,37.19,10.18,73.4,4.7
urengoy,98,RU,1569382394,85,65.96,78.37,37.79,19.3
ramanuj ganj,100,IN,1569382394,94,23.81,83.7,73.79,6.08
owando,100,CG,1569382394,97,-0.49,15.91,71.99,2.53
vilhena,20,BR,1569382394,88,-12.74,-60.15,71.6,1.63
costesti,99,RO,1569382394,84,44.66,24.88,53.63,3.04
meulaboh,100,ID,1569382338,81,4.14,96.13,79.55,3.69
basoko,100,CD,1569382394,98,1.23,23.61,69.47,2.48
taldan,80,RU,1569382394,40,53.69,124.82,53.27,4.65
haines junction,95,CA,1569382394,79,60.75,-137.51,38.87,5.66
mabamba,80,TZ,1569382395,62,-3.6,30.5,63.17,4.7
etchoropo,0,MX,1569382395,87,26.77,-109.67,82.99,11.36
ramos arizpe,5,MX,1569382395,53,25.54,-100.95,80.01,6.93
maceio,40,BR,1569382135,94,-9.67,-35.74,69.8,3.36
djenne,68,ML,1569382395,58,13.91,-4.55,79.55,8.81
hlukhiv,0,UA,1569382395,78,51.68,33.91,33.11,3.74
upata,0,VE,1569382395,90,8.02,-62.41,71.63,3.69
wuchang,0,CN,1569382395,54,44.93,127.16,67.13,11.36
voi,0,KE,1569382396,77,-3.4,38.57,65.69,5.03
dezhou,0,CN,1569382396,33,37.45,116.31,83.51,4.16
angren,61,UZ,1569382396,32,41.01,70.08,66.77,1.72
cap malheureux,40,MU,1569382396,88,-19.98,57.61,73.4,9.17
vaitape,70,PF,1569382396,76,-16.52,-151.75,79.55,19.39
behbahan,0,IR,1569382396,25,30.59,50.24,77.0,3.4
taoudenni,0,ML,1569382396,13,22.68,-3.98,88.91,3.04
marawi,65,PH,1569382396,75,8.0,124.29,84.99,8.01
doha,0,QA,1569382106,79,25.29,51.53,89.6,3.36
laon,75,FR,1569382397,87,49.56,3.62,55.4,2.24
bagan,11,RU,1569382397,69,54.1,77.67,41.75,12.15
ostersund,38,SE,1569382397,81,63.18,14.64,42.8,3.36
nacala,51,MZ,1569382397,96,-14.56,40.69,68.75,7.52
ukiah,1,US,1569382397,34,39.15,-123.21,82.4,3.29
oleksandrivka,85,UA,1569382397,39,48.97,32.24,50.39,4.12
vila velha,20,BR,1569382397,78,-3.71,-38.6,78.8,12.75
hirado,60,JP,1569382398,60,33.32,129.49,78.8,4.7
whitianga,53,NZ,1569382398,66,-36.83,175.7,55.25,14.45
ust-maya,0,RU,1569382398,60,60.42,134.54,43.37,9.26
vestmannaeyjar,81,IS,1569382398,90,63.44,-20.27,50.57,26.22
turukhansk,100,RU,1569382110,95,65.8,87.96,35.99,19.39
tuktoyaktuk,40,CA,1569382288,93,69.44,-133.03,35.6,5.82
caceres,100,CO,1569382398,97,5.53,-74.53,66.41,2.91
kavieng,83,PG,1569382286,71,-2.57,150.8,84.05,9.22
wamba,96,CD,1569382398,97,2.14,27.99,67.49,1.92
benghazi,5,LY,1569382398,81,32.12,20.07,77.03,9.98
praya,40,ID,1569382399,58,-8.71,116.27,87.8,13.87
danshui,40,CN,1569382399,66,22.81,114.46,90.0,8.95
goundam,0,ML,1569382399,12,16.42,-3.66,93.23,6.06
namie,20,JP,1569382399,53,37.52,140.86,75.99,14.99
altay,95,CN,1569382399,41,47.83,88.13,58.49,3.0
avenal,1,US,1569382239,39,36.0,-120.13,80.6,3.36
guozhen,99,CN,1569382399,33,29.3,113.14,83.15,4.18
poum,0,MK,1569382399,93,41.28,20.71,46.4,3.36
nabire,97,ID,1569382399,87,-3.36,135.5,79.01,2.13
aasiaat,0,GL,1569382400,82,68.71,-52.87,33.11,6.04
kaminoyama,40,JP,1569382400,47,38.13,140.3,75.99,12.75
norman wells,20,CA,1569382400,74,65.28,-126.83,37.4,3.36
kuching,75,MY,1569382220,94,1.56,110.34,78.8,3.36
bolu,100,TR,1569382400,72,40.73,31.61,58.31,1.43
kahului,40,US,1569382270,43,20.89,-156.47,89.6,10.29
buala,48,SB,1569382400,67,-8.15,159.59,84.59,2.62
truth or consequences,1,US,1569382400,52,33.13,-107.25,69.8,4.7
srednekolymsk,7,RU,1569382328,47,67.46,153.71,36.17,12.03
vynohradove,0,UA,1569382401,81,46.37,32.94,48.2,8.95
egvekinot,71,RU,1569382401,72,66.32,-179.17,32.93,14.58
broken arrow,40,US,1569382186,94,36.05,-95.79,72.0,6.93
mount darwin,0,ZW,1569382401,92,-16.77,31.58,54.89,3.74
abnub,0,EG,1569382401,68,27.27,31.15,71.6,11.41
broome,100,GB,1569382401,100,52.47,1.45,59.0,6.93
ngunguru,41,NZ,1569382401,82,-35.62,174.5,59.0,11.01
cururupu,16,BR,1569382401,98,-1.82,-44.87,72.89,2.55
college,90,US,1569382352,83,64.86,-147.8,44.6,9.17
taltal,89,CL,1569382341,87,-25.41,-70.49,50.21,3.51
auki,3,NG,1569382402,78,12.18,6.51,75.05,6.73
orlik,20,PL,1569382402,87,53.95,17.74,50.0,5.82
lerwick,99,GB,1569382402,93,60.15,-1.15,53.6,16.11
bulaevo,33,KZ,1569382402,81,54.91,70.44,37.61,14.29
puerto escondido,75,MX,1569382402,69,15.86,-97.07,80.6,3.36
ginda,40,IN,1569382402,83,30.69,78.49,78.8,3.36
brainerd,1,US,1569382402,87,46.36,-94.2,63.0,6.8
